UMAP1,UMAP2,p_interface
15.173593,6.359831,0
1.8119707,19.065273,0
-9.335927,0.8735453,0
-6.86793,-2.8017118,0
1.67329,6.7727375,0
4.3066525,9.967296,0
4.4304037,10.108917,0
4.4239087,10.174978,0
4.3776402,10.085227,0
2.0247307,8.327269,0
1.5586071,8.088438,0
1.4560311,8.211331,0
1.4276963,8.175209,0
2.0695856,8.894479,0
1.3445348,8.159397,0
1.2557276,7.910544,0
1.7268387,8.523905,0
2.0397058,8.646016,0
3.8603745,9.896409,0
4.017276,9.913383,0
4.074368,9.936204,1
1.7479879,6.410988,0
3.7402782,8.020521,0
4.7678204,8.0713625,0
3.386437,4.8140783,1
3.5854375,4.588964,0
3.6003628,4.978763,0
3.6627786,7.357565,0
4.273845,8.493946,0
2.7221334,5.9090257,0
2.7880595,6.0566106,1
3.0291634,7.154328,0
2.6709454,6.7974367,1
1.5846463,7.503618,0
1.4736054,7.8710356,0
3.1182845,9.002787,1
1.7468171,7.0474987,1
1.8282303,6.71962,0
2.0380278,6.8674726,1
3.0830917,7.317891,1
2.5881028,5.0896025,1
2.5408661,5.088885,0
2.9645636,5.2736483,0
4.603536,8.472184,0
3.2880552,5.9094462,0
4.787414,8.444215,0
3.442827,4.9182615,0
3.4963393,4.293133,0
3.4247534,4.437849,0
3.5955288,4.499164,0
5.1674356,7.9209013,0
5.111642,8.093547,0
4.9751086,8.860518,0
2.4395237,6.002118,1
4.066507,9.564604,0
3.9093525,9.60631,0
1.5056623,7.353297,0
1.4746785,8.08619,0
1.4502201,8.127229,0
1.250627,7.976531,0
1.3824114,6.338369,0
1.5822579,5.790506,0
1.612589,5.7810545,0
3.2315152,7.2500143,0
4.4827065,5.326506,0
4.578145,5.6262884,0
4.1040683,8.074602,0
2.6546764,4.399044,0
2.6546504,4.3868403,0
3.0937455,4.4889574,0
3.8605516,7.0915613,0
4.042228,7.361484,0
2.980637,5.256943,0
3.4393382,6.034112,0
3.422341,5.7069244,0
2.92403,5.2047663,0
2.3182423,7.279168,0
4.046181,9.516062,0
4.3519,10.05512,0
4.330692,10.119199,0
4.231457,10.148278,0
3.2239587,9.338375,0
1.8838515,8.0751,0
3.4376895,9.0673275,0
3.9491534,5.0622253,0
4.378104,4.5411797,0
4.110396,3.992773,0
3.9317632,3.9828951,0
4.1302214,5.142255,0
3.8563955,7.343832,0
2.8493443,4.6020775,0
2.8864625,4.4978285,0
4.287057,8.003746,0
1.4090886,4.344703,0
1.3619419,4.129238,0
0.227611,4.905799,0
0.29782513,4.7762723,0
0.68800515,4.123511,0
0.75598025,4.1989994,0
0.10573834,4.6394906,0
0.47666708,4.572009,0
0.7834922,4.4019127,0
3.8412101,7.8558707,0
1.8247032,4.1691475,0
3.8051288,3.9364798,0
4.5204763,4.0553117,0
4.085569,4.0363164,0
3.7350972,4.5365124,0
4.2571177,8.413606,0
2.785634,6.8515353,0
4.355874,10.164237,0
4.2943735,10.25608,0
4.226346,10.272226,0
4.0146465,10.1693125,0
1.886702,8.419932,0
1.4554482,7.909996,0
1.3081475,7.816808,0
1.6989251,8.268132,0
1.5512668,7.4249816,0
3.2612793,8.824186,0
2.767424,5.0421863,0
2.632541,4.988161,0
1.7537843,5.639235,0
3.7132616,4.6531715,0
4.6329803,7.406006,0
3.929182,4.8227096,0
2.3097486,5.014942,0
2.1760268,5.031235,0
2.1209564,5.0387664,0
2.0452592,5.6278667,0
1.9193598,4.8269887,0
1.9346303,4.6087227,0
3.8265626,7.8779554,0
4.100015,6.312429,0
2.3054016,4.6265306,0
2.6040075,4.533744,0
3.702646,7.086589,0
2.4727192,6.229969,0
4.068942,8.218412,0
2.7310662,6.7715282,0
3.3342917,8.104747,0
3.6611402,9.024894,0
1.6916323,7.541091,0
1.861876,8.372115,0
1.6676924,8.118154,0
1.7163885,8.168956,0
1.3390431,6.0927987,0
3.4930284,4.466566,0
2.51785,4.3999367,0
3.8921525,4.955115,0
3.6271849,5.4788446,0
3.6202729,8.671496,0
2.0986078,5.588956,0
2.1501646,5.5980263,0
3.6891797,8.392952,0
3.5245523,7.881037,0
1.0341078,5.1196294,0
1.002176,5.0477643,0
-0.23332405,5.0901914,0
-0.21838373,5.0440116,0
0.058906946,4.380588,0
0.039629158,4.403019,0
-0.22527117,4.5963473,0
-0.14397971,3.767369,0
-0.22273871,3.3882535,0
-0.11158384,3.0747864,0
0.04423027,2.8354704,0
0.7366525,2.260609,0
0.7681718,2.145482,0
0.88608277,2.1517167,0
0.70770335,2.1264722,0
0.44142276,2.0710356,0
0.38959852,2.0732753,0
0.33581358,2.0461726,0
0.34810862,2.0439234,0
0.3212838,2.0535185,1
0.37665272,2.061221,1
0.45610732,2.1114283,1
0.5046107,2.065509,0
0.65961045,2.1164894,0
0.62656635,2.0765738,0
0.7320543,2.1738825,0
4.997647,4.743223,0
5.0849586,4.976944,0
-6.904192,-2.837476,0
-9.66171,1.0724622,0
1.6514318,18.608791,0
15.149199,6.290049,0
15.301627,6.528975,0
1.5265608,19.01943,0
-9.394742,0.8854551,1
-7.0607643,-2.9924538,1
5.070856,7.340379,1
2.5147233,5.116183,1
3.5958033,4.4975033,0
4.771828,6.1827965,1
5.295994,8.274591,1
3.5284002,5.613129,0
4.4495006,5.9689465,1
5.265193,8.94813,1
5.230775,8.967046,1
3.0943933,5.8371267,1
5.3210454,8.517452,1
3.9257276,7.4646854,0
3.4545739,5.5768824,1
2.925173,5.0112042,1
3.7338586,6.797715,0
4.3534627,5.357312,0
3.8997974,2.770089,0
3.9206512,2.602672,0
3.8543897,2.643225,0
3.9059005,2.5929718,0
3.8428223,2.608895,0
3.8310866,2.5169072,1
3.8120053,2.6011255,1
3.3632421,2.6491406,0
4.208367,7.664324,0
1.8086851,3.8414295,0
1.7793138,4.158126,0
1.3950381,4.102361,0
1.360959,4.5157185,0
3.5196774,8.361357,0
1.2204525,4.9191656,0
1.6042634,4.6365795,0
4.7990646,8.301865,0
4.8524857,8.247272,0
2.1946166,4.547549,0
2.2587647,4.331963,0
2.7518966,4.5441484,1
5.024711,7.5136967,1
3.5514321,1.835175,0
3.3379712,1.5104948,1
3.1386955,0.5305769,1
3.136504,0.4610384,1
3.0919788,0.54121846,1
3.223644,0.8275745,1
3.420686,1.4734979,1
4.4883475,2.305774,0
4.7049007,2.3446162,0
4.6800127,2.5717165,0
4.430803,3.0657525,0
4.275332,3.3529465,1
4.5957932,7.7397985,0
2.505374,4.536058,0
2.2100608,4.548157,1
5.010132,8.130913,1
4.898236,8.20256,0
2.3420367,4.78785,0
2.3027978,4.851593,1
4.452942,8.156213,0
3.2529116,4.841826,0
3.8864603,4.6825767,0
3.1106536,4.1754284,0
3.224188,4.104189,0
3.2145674,4.305844,0
3.1387403,4.3750534,0
2.7946231,5.018134,0
3.7533102,8.410279,0
3.0550957,5.3025045,0
3.147455,7.5469294,1
2.8250794,5.580568,0
2.8925872,5.5572624,0
3.6301394,7.8793464,0
5.3736796,9.103575,1
5.548936,9.282878,0
5.7446604,9.542841,1
5.8112073,9.545154,1
6.249127,9.03317,1
6.2549214,8.7608,0
5.7894783,9.139944,1
5.706107,9.137518,1
5.6956105,9.084421,1
5.429234,8.904204,1
4.2180433,7.198097,0
6.3877597,5.2098584,1
0.83735305,4.3042397,0
0.22723523,4.6529994,1
0.07116117,4.661757,1
0.1234458,3.8619564,1
0.013318347,3.696403,0
0.13320252,2.7529228,1
0.27012274,1.4007599,1
0.24219337,1.1805453,1
-7.087755,-3.0196438,0
-9.273312,0.82232136,1
1.7810934,19.110134,1
16.06505,7.1780753,1
15.142418,6.323842,1
1.8918209,19.070225,1
-9.33632,0.8793153,0
-6.8503876,-2.7844248,0
4.5348616,5.546998,0
4.2619653,9.611981,0
